alloc!
Epoch 505, train_loss=109.8, val_loss=1264
Epoch 506, train_loss=109.8, val_loss=1264
Epoch 507, train_loss=109.8, val_loss=1263
Epoch 508, train_loss=109.7, val_loss=1262
Epoch 509, train_loss=109.7, val_loss=1262
Epoch 510, train_loss=109.6, val_loss=1261
Epoch 511, train_loss=109.5, val_loss=1261
Epoch 512, train_loss=109.6, val_loss=1261
Epoch 513, train_loss=109.5, val_loss=1260
Epoch 514, train_loss=109.4, val_loss=1259
Epoch 515, train_loss=109.4, val_loss=1259
Epoch 516, train_loss=109.3, val_loss=1258
Epoch 517, train_loss=109.2, val_loss=1258
Epoch 518, train_loss=109.3, val_loss=1258
Epoch 519, train_loss=109.2, val_loss=1257
Epoch 520, train_loss=109.1, val_loss=1257
Epoch 521, train_loss=109, val_loss=1256
Epoch 522, train_loss=109, val_loss=1256
Epoch 523, train_loss=108.9, val_loss=1255
Epoch 524, train_loss=108.9, val_loss=1255
Epoch 525, train_loss=108.9, val_loss=1254
Epoch 526, train_loss=108.7, val_loss=1254
Epoch 527, train_loss=108.7, val_loss=1254
Epoch 528, train_loss=108.6, val_loss=1253
Epoch 529, train_loss=108.6, val_loss=1252
Epoch 530, train_loss=108.6, val_loss=1252
Epoch 531, train_loss=108.5, val_loss=1252
Epoch 532, train_loss=108.5, val_loss=1250
Epoch 533, train_loss=108.4, val_loss=1250
Epoch 534, train_loss=108.4, val_loss=1251
Epoch 535, train_loss=108.4, val_loss=1250
Epoch 536, train_loss=108.2, val_loss=1249
Epoch 537, train_loss=108.2, val_loss=1248
Epoch 538, train_loss=108.1, val_loss=1248
Epoch 539, train_loss=108.1, val_loss=1248
Epoch 540, train_loss=108.1, val_loss=1247
Epoch 541, train_loss=108, val_loss=1246
Epoch 542, train_loss=107.9, val_loss=1245
Epoch 543, train_loss=107.9, val_loss=1246
Epoch 544, train_loss=107.8, val_loss=1245
Epoch 545, train_loss=107.8, val_loss=1244
Epoch 546, train_loss=107.8, val_loss=1245
Epoch 547, train_loss=107.7, val_loss=1243
Epoch 548, train_loss=107.7, val_loss=1243
Epoch 549, train_loss=107.6, val_loss=1242
Epoch 550, train_loss=107.6, val_loss=1243
Epoch 551, train_loss=107.5, val_loss=1242
Epoch 552, train_loss=107.5, val_loss=1241
Epoch 553, train_loss=107.4, val_loss=1241
Epoch 554, train_loss=107.3, val_loss=1240
Epoch 555, train_loss=107.3, val_loss=1240
Epoch 556, train_loss=107.2, val_loss=1239
Epoch 557, train_loss=107.2, val_loss=1238
Epoch 558, train_loss=107.1, val_loss=1238
Epoch 559, train_loss=107.1, val_loss=1238
Epoch 560, train_loss=107, val_loss=1237
Epoch 561, train_loss=107, val_loss=1236
Epoch 562, train_loss=107, val_loss=1236
Epoch 563, train_loss=106.9, val_loss=1236
Epoch 564, train_loss=106.8, val_loss=1235
Epoch 565, train_loss=106.8, val_loss=1234
Epoch 566, train_loss=106.7, val_loss=1233
Epoch 567, train_loss=106.7, val_loss=1232
Epoch 568, train_loss=106.7, val_loss=1232
Epoch 569, train_loss=106.6, val_loss=1232
Epoch 570, train_loss=106.6, val_loss=1232
Epoch 571, train_loss=106.5, val_loss=1231
Epoch 572, train_loss=106.4, val_loss=1230
Epoch 573, train_loss=106.4, val_loss=1230
Epoch 574, train_loss=106.4, val_loss=1229
Epoch 575, train_loss=106.3, val_loss=1229
Epoch 576, train_loss=106.3, val_loss=1228
Epoch 577, train_loss=106.2, val_loss=1228
Epoch 578, train_loss=106.1, val_loss=1228
Epoch 579, train_loss=106.3, val_loss=1227
Epoch 580, train_loss=106.1, val_loss=1226
Epoch 581, train_loss=106.1, val_loss=1226
Epoch 582, train_loss=106, val_loss=1225
Epoch 583, train_loss=105.9, val_loss=1226
Epoch 584, train_loss=105.9, val_loss=1225
Epoch 585, train_loss=105.8, val_loss=1224
Epoch 586, train_loss=105.7, val_loss=1223
Epoch 587, train_loss=105.8, val_loss=1222
